21041,55,horville-en-ornois,HORVILLE-EN-ORNOIS,horville en ornois,Horville-en-Ornois,H6145652,HRFLNRNS,55130,247,55247,2,10,6,65,51,100,8,7.62,5.46667,48.5,3478,53879,+52801,482927,301,390
21042,55,manheulles,MANHEULLES,manheulles,Manheulles,M420,MNHLS,55160,317,55317,3,09,6,153,146,200,14,10.45,5.6,49.1167,3623,54569,+53550,490642,210,257
21043,55,vaucouleurs,VAUCOULEURS,vaucouleurs,Vaucouleurs,V2462,FKLRS,55140,533,55533,2,24,5,2054,2293,2100,52,39.35,5.66667,48.6,3698,54002,+53954,483606,242,372
21044,55,meligny-le-petit,MELIGNY-LE-PETIT,meligny le petit,Méligny-le-Petit,M425413,MLKNLPTT,55190,331,55331,2,28,6,74,58,100,8,8.39,5.46667,48.6667,3477,54066,+52756,483934,276,397
21045,55,vaubecourt,VAUBECOURT,vaubecourt,Vaubecourt,V263,FBKRT,55250,532,55532,1,23,5,322,261,300,14,22.62,5.11667,48.9333,3084,54372,+50644,485604,169,263
21046,55,azannes-et-soumazannes,AZANNES-ET-SOUMAZANNES,azannes et soumazannes,Azannes-et-Soumazannes,A252325252,ASNSTSMSNS,55150,024,55024,3,06,6,159,170,200,8,18.11,5.46667,49.3,3478,54768,+52802,491729,208,354
21047,55,froidos,FROIDOS,froidos,Froidos,F632,FRTS,55120,199,55199,3,04,6,92,85,100,10,8.74,5.11667,49.05,3096,54512,+50723,490337,195,295
21048,55,grimaucourt-en-woevre,GRIMAUCOURT-EN-WOEVRE,grimaucourt en woevre,Grimaucourt-en-Woëvre,G65263516,KRMKRTNWFR,55400,219,55219,3,08,6,106,67,100,18,5.69,5.55,49.1667,3577,54638,+53322,491026,211,229
21049,55,doncourt-aux-templiers,DONCOURT-AUX-TEMPLIERS,doncourt aux templiers,Doncourt-aux-Templiers,D52632351462,TNKRTKSTMPLRS,55160,163,55163,3,09,6,73,68,100,11,6.18,5.73333,49.0667,3756,54509,+54303,490330,206,225
21050,55,romagne-sous-montfaucon,ROMAGNE-SOUS-MONTFAUCON,romagne sous montfaucon,Romagne-sous-Montfaucon,R525253125,RMKNSSMNTFKN,55110,438,55438,3,12,6,191,165,200,12,15.7,5.08333,49.3333,3051,54813,+50456,491953,195,287
21051,55,villotte-sur-aire,VILLOTTE-SUR-AIRE,villotte sur aire,Villotte-sur-Aire,V4326,FLTSRR,55260,570,55570,2,15,6,178,209,200,12,13.96,5.35,48.85,3339,54288,+52031,485133,257,362
21052,55,haumont-pres-samogneux,HAUMONT-PRES-SAMOGNEUX,haumont pres samogneux,Haumont-près-Samogneux,H531625252,HMNTPRSSMKNKS,55100,239,55239,3,03,6,0,0,0,0,10.81,5.35251,49.2728,3351,54748,+52109,491622,194,355
21053,55,han-sur-meuse,HAN-SUR-MEUSE,han sur meuse,Han-sur-Meuse,H52652,HNSRMS,55300,229,55229,2,17,6,269,248,300,15,17.22,5.53333,48.8667,3558,54296,+53220,485158,219,374
21054,55,baulny,BAULNY,baulny,Baulny,B450,BLN,55270,033,55033,3,22,6,15,22,0,3,3.91,5.01667,49.2667,2975,54736,+50051,491544,140,221
21055,55,bras-sur-meuse,BRAS-SUR-MEUSE,bras sur meuse,Bras-sur-Meuse,B62652,BRSSRMS,55100,073,55073,3,03,6,705,549,700,51,13.69,5.38333,49.2167,3378,54678,+52237,491237,189,360
21056,55,futeau,FUTEAU,futeau,Futeau,F300,FT,55120,202,55202,3,04,6,162,153,200,93,1.73,5,49.0833,2962,54531,+50009,490441,165,211
